i,gravid,classe
590,44.0203,2
591,57.2153,3
592,37.3005,2
593,67.7437,3
594,46.0983,2
595,56.3184,3
596,25.4062,2
597,27.2203,2
598,35.8735,2
599,31.653,2
600,55.3927,3
601,13.2658,1
602,37.3191,2
603,39.1047,2
604,17.3683,1
605,46.6605,2
606,53.9713,3
607,31.7256,2
608,51.9216,3
609,50.6457,3
610,51.8505,3
611,49.3955,2
612,30.2951,2
613,42.0824,2
614,38.4255,2
615,14.2879,1
616,22.804,1
617,69.4767,3
618,39.3949,2
619,25.3015,2
620,31.179,2
621,13.9882,1
622,51.467,2
623,29.2257,2
624,58.4633,3
625,55.0009,3
626,51.0248,3
627,52.7332,3
628,34.9751,2
629,29.7448,2
630,39.0823,2
631,43.9756,2
632,42.5035,2
633,23.3803,1
634,65.6477,3
635,14.0311,1
636,54.4453,3
637,16.4855,1
638,39.5198,2
639,37.7271,2
640,41.544,2
641,40.3731,2
642,49.5081,2
643,49.7605,2
644,25.9163,2
645,27.2306,1
646,57.5047,3
647,25.7036,2
648,29.5547,2
649,65.2769,3
650,55.504,3
651,52.4362,3
652,27.2922,2
653,53.2383,3
654,25.07,1
655,65.007,3
656,55.6756,3
657,62.7124,3
658,58.9006,3
659,46.3866,2
660,35.1573,2
661,49.8989,3
662,52.6478,3
663,36.7979,2
664,37.6864,2
665,52.608,3
666,58.6931,3
667,44.4046,2
668,54.7757,2
669,72.7492,4
670,58.5747,3
671,13.6048,1
672,27.1813,2
673,44.5434,2
674,21.6171,1
675,82.0224,4
676,43.24,2
677,37.7887,2
678,50.8691,3
679,20.3788,1
680,25.3932,1
681,53.3501,3
682,40.6197,2
683,39.7257,2
684,13.3886,1
685,13.258,1
686,39.852,2
687,36.5998,2
688,34.5801,2
689,60.5613,2
690,60.437,3
691,32.5589,2
692,55.2235,3
693,39.2959,2
694,61.3654,3
695,53.2909,3
696,66.3476,3
697,47.0544,2
698,49.3575,3
699,28.2432,2
700,29.5448,2
701,38.8852,2
702,13.3327,1
703,31.1188,2
704,45.9692,2
705,65.3466,3
706,43.4755,2
707,48.0472,2
708,43.8417,2
709,13.8594,1
710,38.1518,2
711,32.3849,2
712,35.7859,2
713,34.1019,2
714,15.3917,1
715,34.8409,2
716,25.0319,1
717,27.5813,2
718,30.1801,2
719,27.7465,2
720,33.0724,1
721,62.9571,3
722,26.3786,1
723,29.5803,2
724,57.5497,3
725,56.3374,3
726,59.024,3
727,56.49,3
728,38.5694,2
729,53.1422,3
730,78.0699,4
731,32.4579,2
732,28.4817,2
733,59.0571,3
734,33.4241,2
735,62.4307,3
736,39.4597,2
737,26.0961,2
738,60.4688,3
739,53.5657,3
740,62.7866,3
741,53.0642,3
742,73.255,3
743,46.3965,2
744,45.0596,2
745,41.6568,2
746,19.478,1
747,16.0681,1
748,14.6636,1
749,61.9078,3
750,64.2577,3
751,39.6812,2
752,72.1889,3
753,13.4395,1
754,26.5995,2
755,68.949,3
756,62.6361,3
757,59.1498,3
758,50.1685,2
759,46.8943,2
760,34.5258,2
761,57.2481,3
762,48.8838,3
763,84.6074,4
764,13.4946,1
765,39.7276,2
766,45.2663,2
767,47.7693,2
768,43.4926,2
769,59.8833,3
770,58.6686,3
771,53.2791,3
772,41.2014,2
773,27.5045,2
774,47.7832,2
775,37.702,2
776,25.4871,2
777,40.5052,2
778,40.335,2
779,23.8011,1
780,62.7615,3
781,26.1159,2
782,36.2307,2
783,63.343,3
784,26.834,2
785,39.2441,2
786,71.8932,3
787,56.009,3
788,24.5623,1
789,35.7513,2
790,26.9776,2
791,61.123,3
792,46.7321,2
793,36.3515,2
794,27.138,1
795,36.8828,2
796,72.1782,3
797,29.1976,2
798,63.2054,3
799,55.4103,3
800,31.8952,2
801,44.1865,2
802,27.4494,2
803,27.3548,1
804,40.7273,2
805,26.846,2
806,50.0269,2
807,62.4189,3
808,40.2706,2
809,60.0342,3
810,49.4851,3
811,24.7636,1
812,27.4627,2
813,46.3149,2
814,14.2996,1
815,34.2966,2
816,27.4328,2
817,52.8259,3
818,54.6619,3
819,46.4527,2
820,51.2411,3
821,19.7017,1
822,28.7499,1
823,42.3086,2
824,67.6866,3
825,36.2132,2
826,47.0771,2
827,62.9629,3
828,54.9762,3
829,27.0935,2
830,57.8356,3
831,40.8216,2
832,46.2531,2
833,16.0967,1
834,19.2859,1
835,53.5904,3
836,15.3773,1
837,48.988,2
838,27.1702,2
839,47.7784,2
840,47.0294,2
841,27.5469,2
842,39.258,2
843,63.6478,3
844,39.5098,2
845,17.7294,1
846,25.303,1
847,48.8868,2
848,52.086,3
849,45.5106,2
850,41.8434,2
851,63.6739,3
852,15.8696,1
853,48.6362,3
854,48.7606,2
855,32.0166,2
856,54.8196,3
857,31.3686,2
858,58.0884,3
859,33.3638,2
860,37.4501,2
861,37.8505,2
862,44.6212,2
863,59.7414,3
864,76.1166,4
865,39.8247,2
866,50.0586,2
867,13.945,1
868,56.5663,3
869,39.7332,2
870,25.7575,1
871,29.3712,2
872,27.1988,2
873,48.2373,2
874,26.7849,2
875,51.0692,3
876,46.6365,2
877,46.2445,2
878,25.5276,1
879,64.5551,3
880,39.5093,2
881,44.1288,2
882,65.2831,3
883,42.8542,2
884,38.8505,2
885,68.3046,3
886,34.0574,2
887,50.667,2
888,44.2552,2
889,45.1234,2
890,19.7754,1
891,59.5428,3
892,38.315,2
893,50.9996,2
894,20.3165,1
895,38.9973,2
896,15.2188,1
897,53.4474,3
898,46.8418,2
899,42.8152,2
900,58.2668,3
901,13.2475,1
902,60.5949,3
903,22.2624,1
904,42.5304,2
905,50.2243,2
906,34.3871,2
907,25.403,1
908,17.88,1
909,47.3488,2
910,39.9393,2
911,27.2988,2
912,41.427,2
913,26.8811,1
914,21.1442,1
915,15.5723,1
916,65.7375,3
917,21.286,1
918,64.0128,3
919,25.445,2
920,13.611,1
921,39.4328,2
922,47.1822,2
923,55.4684,3
924,30.2112,2
925,25.0752,1
926,36.271,2
927,41.1525,2
928,32.6572,2
929,76.4712,4
930,55.797,3
931,33.5279,2
932,15.6036,1
933,67.8464,3
934,73.3152,4
935,36.5979,2
936,39.9699,2
937,40.8328,2
938,49.4639,2
939,26.1018,1
940,15.5367,1
941,38.1316,2
942,56.3716,3
943,24.7313,1
944,27.3898,2
945,41.456,2
946,39.8866,2
947,38.8637,2
948,62.0917,3
949,18.7247,1
950,31.5528,2
951,65.9123,3
952,24.6101,1
953,36.2423,2
954,26.5104,2
955,30.0398,2
956,27.2485,2
957,36.1732,2
958,39.2969,2
959,53.1034,3
960,50.0054,2
961,49.1925,2
962,65.9738,3
963,65.2633,3
964,31.4981,2
965,49.7789,2
966,56.8864,3
967,60.1624,3
968,49.9479,2
969,26.9055,2
970,26.8787,2
971,64.3623,3
972,14.2869,1
973,24.8223,1
974,14.2375,1
975,69.07,3
976,28.5661,2
977,32.0905,2
978,25.1505,2
979,39.1054,2
980,60.2101,3
981,13.3115,1
982,27.159,2
983,24.803,1
984,39.642,2
985,25.7686,1
986,60.5399,3
987,25.5415,1
988,58.1774,3
989,39.3096,2
990,13.7531,1
991,48.6013,2
992,13.6969,1
993,48.6983,2
994,33.6122,2
995,25.472,2
996,35.2608,2
997,14.0593,1
998,49.3988,2
999,48.557,2
1000,13.5297,1
1001,68.3856,3
1002,24.9214,1
1003,37.6584,2
1004,36.2978,2
1005,38.9485,2
1006,31.8063,2
1007,25.2067,1
1008,27.243,2
1009,40.3052,2
1010,24.9939,1
1011,27.2376,2
1012,38.2833,2
1013,38.0179,2
1014,29.063,2
1015,25.0063,1
1016,45.8697,2
1017,56.8795,3
1018,31.8681,2
1019,48.3224,2
1020,34.2332,2
1021,27.4914,2
1022,63.8653,3
1023,51.2383,2
1024,30.8887,1
1025,42.7567,2
1026,39.887,2
1027,51.637,3
1028,46.0645,2
1029,32.2147,2
1030,46.4819,2
1031,25.4636,2
1032,36.3288,1
1033,54.5928,3
1034,39.7931,2
1035,34.755,2
1036,13.3105,1
1037,55.0363,3
1038,43.5563,2
1039,27.0583,2
1040,31.8611,2
1041,51.5974,3
1042,47.2855,2
1043,31.7545,2
1044,31.7304,2
1045,39.3232,2
1046,16.6343,1
1047,69.3927,3
1048,37.8671,2
1049,39.261,2
1050,13.3678,1
1051,45.471,2
1052,27.8624,2
1053,59.5406,3
1054,43.7877,2
1055,43.6045,2
1056,31.4304,2
1057,75.946,3
1058,49.8265,3
1059,24.9829,1
1060,25.1693,2
1061,26.9191,2
1062,49.571,2
1063,54.3978,3
1064,60.5897,3
1065,60.5481,3
1066,53.622,3
1067,37.7831,2
1068,38.8046,2
1069,25.1704,1
1070,37.5305,2
1071,29.301,2
1072,36.0331,2
1073,38.9569,2
1074,13.5008,1
1075,59.25,3
1076,50.3668,2
1077,58.5958,3
1078,55.8115,3
1079,52.5833,3
1080,56.4695,3
1081,61.431,3
1082,83.6661,4
1083,13.2636,1
1084,58.2331,3
1085,65.1657,3
1086,45.6591,2
1087,25.4239,2
1088,68.3799,3
1089,14.1922,1
1090,46.4913,2
1091,78.3151,4
1092,13.2479,1
1093,57.4608,3
1094,37.5632,2
1095,40.1087,2
1096,43.2425,2
1097,27.1333,2
1098,39.6808,2
1099,54.0701,3
1100,13.8474,1
1101,39.582,2
1102,27.4467,1
1103,27.643,2
1104,39.1842,2
1105,14.1212,1
1106,47.5225,2
1107,27.6094,2
1108,42.2163,2
1109,31.1078,2
1110,39.7352,2
1111,48.058,2
1112,35.4217,2
1113,39.0171,2
1114,44.8759,2
1115,25.2569,2
1116,43.4553,2
1117,19.4257,1
1118,50.7202,3
1119,13.7992,1
1120,13.2452,1
1121,39.2725,2
1122,70.4035,3
1123,39.9133,2
1124,47.3918,2
1125,39.0679,2
1126,65.7551,3
1127,79.4158,4
1128,42.9909,2
1129,45.1596,2
1130,37.5893,2
1131,83.6979,4
1132,70.0878,3
1133,42.138,2
1134,24.0815,1
1135,25.553,2
1136,38.3392,2
1137,50.1108,3
1138,32.1358,2
1139,36.5804,2
1140,23.6387,1
1141,43.343,2
1142,37.024,2
1143,36.1535,2
1144,38.5617,2
1145,29.8294,2
1146,14.2719,1
1147,52.8606,3
1148,62.1274,3
1149,35.7117,2
1150,14.123,1
1151,39.5062,2
1152,39.1878,2
1153,25.3749,2
1154,17.0374,1
1155,25.7798,2
1156,39.1455,2
1157,40.1835,2
1158,22.3392,1
1159,82.5454,4
1160,13.4872,1
1161,38.7966,2
1162,65.7045,3
1163,25.171,2
1164,14.3554,1
1165,38.646,2
1166,41.866,2
1167,25.3921,2
1168,55.4112,3
1169,50.9258,2
1170,41.766,2
1171,30.5972,2
1172,41.453,2
1173,35.7149,2
1174,73.2594,4
1175,13.3562,1
1176,42.5913,2
1177,58.3277,3
1178,74.9711,4
1179,34.247,2
1180,48.5791,2
1181,39.2322,2
1182,26.8373,2
1183,45.1829,2
1184,51.9278,3
1185,66.2068,3
1186,37.5896,2
1187,48.4914,3
1188,37.3304,2
1189,44.4156,2
1190,39.4228,2
1191,39.3637,2
1192,38.9952,2
1193,58.8288,3
1194,37.1418,2
1195,27.0211,2
1196,14.4802,1
1197,26.7367,2
1198,32.7623,2
1199,39.1342,2
1200,14.1184,1
1201,48.9154,2
1202,51.2339,3
1203,33.0403,2
1204,59.1039,3
1205,41.3732,2
1206,55.5925,3
1207,25.3504,1
1208,22.6689,1
1209,38.2853,2
1210,24.9658,1
1211,38.697,2
1212,61.7332,3
1213,42.0461,2
1214,25.0906,2
1215,49.6251,2
1216,27.7109,2
1217,28.1204,2
1218,36.8469,2
1219,40.0089,2
1220,37.5647,2
1221,47.4669,2
1222,27.2206,2
1223,41.7598,2
1224,67.8129,3
1225,35.2989,2
1226,29.3832,2
1227,55.3138,3
1228,25.037,1
1229,66.9017,3
1230,72.8185,4
1231,13.3297,1
1232,46.1895,2
1233,57.7948,3
1234,69.686,3
1235,58.2582,3
1236,38.932,2
1237,42.8265,2
1238,22.5147,1
1239,57.7668,3
1240,61.5735,3
1241,35.3306,2
1242,73.0154,3
1243,72.7902,3
1244,28.8674,2
1245,32.4175,2
1246,17.6595,1
1247,28.2626,2
1248,64.3876,3
1249,13.8062,1
1250,13.9303,1
1251,65.3852,3
1252,47.3305,2
1253,13.3816,1
1254,46.4347,2
1255,39.0971,2
1256,48.4351,2
1257,25.8162,2
1258,38.8019,2
1259,25.8036,1
1260,38.7684,2
1261,42.5319,2
1262,55.7903,3
1263,56.9536,3
1264,16.6832,1
1265,36.6308,2
1266,66.0565,3
1267,40.0085,2
1268,53.7627,3
1269,52.8944,3
1270,53.8113,3
1271,39.7026,2
1272,49.6539,2
1273,34.2733,2
1274,14.1732,1
1275,13.7014,1
1276,50.1687,3
1277,14.6339,1
1278,39.7262,2
1279,62.3895,3
1280,37.3265,2
1281,13.3125,1
1282,25.3829,2
1283,53.4979,3
1284,41.5088,2
1285,45.6847,2
1286,39.9627,2
1287,43.3783,2
1288,53.2296,2
1289,47.7305,2
1290,13.8546,1
1291,14.0436,1
1292,18.6494,1
1293,38.2454,2
1294,26.0091,2
1295,33.8447,2
1296,39.8134,2
1297,25.406,1
1298,62.115,3
1299,24.7659,1
1300,55.1419,3
1301,62.3929,3
1302,43.7398,2
1303,36.7405,2
1304,31.3629,2
1305,39.1286,2
1306,16.107,1
1307,33.9023,2
1308,33.6123,2
1309,30.3209,2
1310,13.4019,1
1311,36.8996,2
1312,46.5249,2
1313,70.1858,3
1314,37.7504,2
1315,38.0514,2
1316,13.263,1
1317,46.6108,2
1318,59.3521,3
1319,39.9059,2
1320,43.7488,2
1321,55.7872,3
1322,27.4226,2
1323,13.3627,1
1324,23.1893,1
1325,45.9508,2
1326,73.3842,4
1327,36.0191,2
1328,33.9599,2
1329,61.2019,3
1330,45.5413,2
1331,58.5164,3
1332,16.1451,1
1333,39.2111,2
1334,40.991,2
1335,16.3802,1
1336,33.2247,2
1337,25.2303,2
1338,33.0169,1
1339,24.0892,1
1340,47.7344,2
1341,61.8639,3
1342,55.2404,3
1343,32.8897,2
1344,14.0851,1
1345,35.8704,2
1346,39.3679,2
1347,13.6791,1
1348,35.0148,2
1349,44.1746,2
1350,41.2263,2
1351,62.3309,3
1352,56.1935,3
1353,53.5001,3
1354,53.7388,2
1355,70.5127,3
1356,29.7905,2
1357,44.4013,2
1358,44.6697,2
1359,44.8398,2
1360,30.4229,2
1361,25.1326,2
1362,56.0244,3
1363,50.3194,3
1364,44.8406,2
1365,61.9189,3
1366,37.2396,2
1367,63.6961,3
1368,28.9812,2
1369,24.0846,1
1370,27.2581,2
1371,55.0302,3
1372,36.8131,2
1373,76.547,4
1374,59.9173,3
1375,50.5955,2
1376,27.0026,2
1377,39.8517,2
1378,13.2581,1
1379,38.2154,2
1380,38.8145,2
1381,50.2011,2
1382,25.6398,2
1383,49.0862,2
1384,33.591,2
1385,25.2505,1
1386,58.6322,3
1387,48.7563,2
1388,17.3843,1
1389,48.0176,2
1390,57.0405,3
1391,44.2963,2
1392,39.9657,2
1393,37.7372,2
1394,20.3091,1
1395,13.6248,1
1396,39.6167,2
1397,27.1733,2
1398,38.3137,2
1399,37.1727,2
1400,57.4486,3
1401,25.3107,2
1402,32.0533,2
1403,31.564,2
1404,74.6484,4
1405,37.7217,2
1406,45.5476,2
1407,63.4817,3
1408,13.254,1
1409,36.8026,2
1410,22.1145,1
1411,41.9754,2
1412,50.2134,3
1413,57.8227,3
1414,47.0081,3
1415,40.1824,2
1416,64.6584,3
1417,41.5679,2
1418,24.943,1
1419,14.8625,1
1420,57.1618,3
1421,41.021,2
1422,37.6876,2
1423,41.2963,2
1424,38.8673,2
1425,24.7312,1
1426,58.8276,3
1427,74.1252,4
1428,34.7603,2
1429,38.765,2
1430,40.3481,2
1431,28.1465,2
1432,47.3294,2
1433,79.0632,4
1434,54.0796,3
1435,27.1173,2
1436,52.4586,2
1437,36.0523,2
1438,39.1835,2
1439,13.2495,1
1440,49.0572,3
1441,45.6791,2
1442,53.8998,3
1443,27.2053,2
1444,55.6778,3
1445,47.4493,2
1446,38.9152,2
1447,31.5459,2
1448,46.3343,3
1449,44.6027,1
1450,40.0958,2
1451,27.3566,2
1452,37.8862,2
1453,19.1326,1
1454,62.3354,3
1455,48.5116,2
1456,13.538,1
1457,72.602,3
1458,41.1478,2
1459,27.5457,2
1460,35.5793,2
1461,39.4528,2
1462,85.032,4
1463,45.2409,2
1464,13.3719,1
1465,13.6378,1
1466,49.0924,2
1467,39.0093,2
1468,80.1109,4
1469,50.6071,3
1470,43.5492,2
1471,48.641,2
1472,26.581,2
1473,24.3857,1
1474,28.7679,2
1475,56.7595,3
1476,25.29,2
1477,48.2305,2
1478,19.0054,1
1479,51.0083,3
1480,45.0179,2
1481,32.3251,2
1482,52.9117,3
1483,69.5712,3
1484,20.7286,1
1485,58.6734,3
1486,53.1183,3
1487,36.1917,2
1488,57.8291,3
1489,50.5853,2
1490,29.0923,2
1491,38.1666,2
1492,34.1061,2
1493,27.8537,2
1494,39.6402,2
1495,74.6264,4
1496,25.5976,1
1497,65.0938,3
1498,26.4586,1
1499,60.4942,3
1500,40.6825,2
